#                R                  6p-                      6p                      7s 
#                              P           Q            P           Q           P           Q
   153      5.1957E-08    2.2780E-10  1.5361E-06   3.4499E-12 -2.9717E-16  1.8910E-06 -2.7147E-10
   154      5.2479E-08    2.3240E-10  1.5515E-06   3.5196E-12 -3.0622E-16  1.9100E-06 -2.7696E-10
   155      5.3007E-08    2.3709E-10  1.5671E-06   3.5907E-12 -3.1555E-16  1.9292E-06 -2.8255E-10
   156      5.3539E-08    2.4188E-10  1.5828E-06   3.6633E-12 -3.2516E-16  1.9486E-06 -2.8826E-10
   157      5.4078E-08    2.4677E-10  1.5987E-06   3.7373E-12 -3.3506E-16  1.9681E-06 -2.9408E-10
   158      5.4621E-08    2.5176E-10  1.6148E-06   3.8128E-12 -3.4527E-16  1.9879E-06 -3.0002E-10
   159      5.5170E-08    2.5684E-10  1.6310E-06   3.8898E-12 -3.5578E-16  2.0079E-06 -3.0608E-10
   160      5.5724E-08    2.6203E-10  1.6474E-06   3.9684E-12 -3.6662E-16  2.0281E-06 -3.1227E-10
   161      5.6284E-08    2.6732E-10  1.6640E-06   4.0485E-12 -3.7778E-16  2.0485E-06 -3.1858E-10
   162      5.6850E-08    2.7272E-10  1.6807E-06   4.1303E-12 -3.8929E-16  2.0690E-06 -3.2501E-10
   163      5.7421E-08    2.7823E-10  1.6976E-06   4.2137E-12 -4.0114E-16  2.0898E-06 -3.3158E-10
   164      5.7999E-08    2.8385E-10  1.7147E-06   4.2989E-12 -4.1336E-16  2.1108E-06 -3.3827E-10
   165      5.8581E-08    2.8959E-10  1.7319E-06   4.3857E-12 -4.2595E-16  2.1321E-06 -3.4511E-10
   166      5.9170E-08    2.9544E-10  1.7493E-06   4.4743E-12 -4.3892E-16  2.1535E-06 -3.5208E-10
   167      5.9765E-08    3.0141E-10  1.7669E-06   4.5647E-12 -4.5229E-16  2.1751E-06 -3.5919E-10
   168      6.0366E-08    3.0749E-10  1.7846E-06   4.6569E-12 -4.6606E-16  2.1970E-06 -3.6645E-10
   169      6.0972E-08    3.1371E-10  1.8026E-06   4.7510E-12 -4.8025E-16  2.2191E-06 -3.7385E-10
   170      6.1585E-08    3.2004E-10  1.8207E-06   4.8470E-12 -4.9488E-16  2.2414E-06 -3.8140E-10
   171      6.2204E-08    3.2651E-10  1.8390E-06   4.9449E-12 -5.0995E-16  2.2639E-06 -3.8911E-10
   172      6.2829E-08    3.3311E-10  1.8575E-06   5.0448E-12 -5.2548E-16  2.2867E-06 -3.9697E-10
   173      6.3461E-08    3.3983E-10  1.8761E-06   5.1467E-12 -5.4148E-16  2.3096E-06 -4.0499E-10
   174      6.4098E-08    3.4670E-10  1.8950E-06   5.2506E-12 -5.5798E-16  2.3328E-06 -4.1317E-10
   175      6.4743E-08    3.5370E-10  1.9140E-06   5.3567E-12 -5.7497E-16  2.3563E-06 -4.2152E-10
   176      6.5393E-08    3.6085E-10  1.9333E-06   5.4649E-12 -5.9248E-16  2.3800E-06 -4.3003E-10
   177      6.6050E-08    3.6814E-10  1.9527E-06   5.5753E-12 -6.1052E-16  2.4039E-06 -4.3872E-10
   178      6.6714E-08    3.7557E-10  1.9723E-06   5.6880E-12 -6.2912E-16  2.4280E-06 -4.4758E-10
   179      6.7385E-08    3.8316E-10  1.9922E-06   5.8029E-12 -6.4827E-16  2.4525E-06 -4.5662E-10
