#                                P           Q            P           Q            P           Q
#                R                    6s                       6p-                      6p 
   100      3.0582E-08      2.9982E-06 -2.5335E-10   7.6436E-11  8.7565E-07   1.1409E-12 -5.7847E-17
   101      3.0890E-08      3.0283E-06 -2.5847E-10   7.7980E-11  8.8445E-07   1.1640E-12 -5.9609E-17
   102      3.1200E-08      3.0588E-06 -2.6369E-10   7.9556E-11  8.9334E-07   1.1875E-12 -6.1424E-17
   103      3.1514E-08      3.0895E-06 -2.6902E-10   8.1163E-11  9.0232E-07   1.2115E-12 -6.3295E-17
   104      3.1830E-08      3.1206E-06 -2.7445E-10   8.2802E-11  9.1139E-07   1.2360E-12 -6.5223E-17
   105      3.2150E-08      3.1519E-06 -2.8000E-10   8.4475E-11  9.2055E-07   1.2609E-12 -6.7209E-17
   106      3.2473E-08      3.1836E-06 -2.8565E-10   8.6182E-11  9.2980E-07   1.2864E-12 -6.9256E-17
   107      3.2800E-08      3.2156E-06 -2.9142E-10   8.7923E-11  9.3915E-07   1.3124E-12 -7.1365E-17
   108      3.3129E-08      3.2479E-06 -2.9731E-10   8.9699E-11  9.4858E-07   1.3389E-12 -7.3538E-17
   109      3.3462E-08      3.2805E-06 -3.0332E-10   9.1511E-11  9.5812E-07   1.3659E-12 -7.5778E-17
   110      3.3799E-08      3.3135E-06 -3.0944E-10   9.3359E-11  9.6775E-07   1.3935E-12 -7.8086E-17
   111      3.4138E-08      3.3468E-06 -3.1570E-10   9.5245E-11  9.7747E-07   1.4217E-12 -8.0464E-17
   112      3.4481E-08      3.3805E-06 -3.2207E-10   9.7169E-11  9.8730E-07   1.4504E-12 -8.2914E-17
   113      3.4828E-08      3.4144E-06 -3.2858E-10   9.9132E-11  9.9722E-07   1.4797E-12 -8.5440E-17
   114      3.5178E-08      3.4487E-06 -3.3522E-10   1.0113E-10  1.0072E-06   1.5096E-12 -8.8042E-17
   115      3.5531E-08      3.4834E-06 -3.4199E-10   1.0318E-10  1.0174E-06   1.5401E-12 -9.0723E-17
   116      3.5889E-08      3.5184E-06 -3.4890E-10   1.0526E-10  1.0276E-06   1.5712E-12 -9.3486E-17
   117      3.6249E-08      3.5538E-06 -3.5595E-10   1.0739E-10  1.0379E-06   1.6029E-12 -9.6333E-17
   118      3.6614E-08      3.5895E-06 -3.6314E-10   1.0956E-10  1.0483E-06   1.6353E-12 -9.9267E-17
   119      3.6982E-08      3.6256E-06 -3.7047E-10   1.1177E-10  1.0589E-06   1.6684E-12 -1.0229E-16
   120      3.7353E-08      3.6620E-06 -3.7796E-10   1.1403E-10  1.0695E-06   1.7021E-12 -1.0540E-16
   121      3.7729E-08      3.6988E-06 -3.8559E-10   1.1633E-10  1.0803E-06   1.7365E-12 -1.0861E-16
   122      3.8108E-08      3.7360E-06 -3.9338E-10   1.1868E-10  1.0911E-06   1.7715E-12 -1.1192E-16
   123      3.8491E-08      3.7735E-06 -4.0133E-10   1.2108E-10  1.1021E-06   1.8073E-12 -1.1533E-16
   124      3.8878E-08      3.8115E-06 -4.0944E-10   1.2353E-10  1.1132E-06   1.8438E-12 -1.1884E-16
   125      3.9268E-08      3.8498E-06 -4.1771E-10   1.2602E-10  1.1244E-06   1.8811E-12 -1.2246E-16
   126      3.9663E-08      3.8884E-06 -4.2614E-10   1.2857E-10  1.1357E-06   1.9191E-12 -1.2619E-16
   127      4.0062E-08      3.9275E-06 -4.3475E-10   1.3116E-10  1.1471E-06   1.9578E-12 -1.3004E-16
   128      4.0464E-08      3.9670E-06 -4.4354E-10   1.3381E-10  1.1586E-06   1.9974E-12 -1.3400E-16
   129      4.0871E-08      4.0069E-06 -4.5250E-10   1.3652E-10  1.1702E-06   2.0377E-12 -1.3808E-16
   130      4.1282E-08      4.0471E-06 -4.6164E-10   1.3928E-10  1.1820E-06   2.0789E-12 -1.4228E-16
   131      4.1697E-08      4.0878E-06 -4.7096E-10   1.4209E-10  1.1939E-06   2.1209E-12 -1.4661E-16
   132      4.2116E-08      4.1289E-06 -4.8048E-10   1.4496E-10  1.2059E-06   2.1638E-12 -1.5108E-16
   133      4.2539E-08      4.1704E-06 -4.9018E-10   1.4789E-10  1.2180E-06   2.2075E-12 -1.5568E-16
   134      4.2966E-08      4.2123E-06 -5.0009E-10   1.5088E-10  1.2302E-06   2.2521E-12 -1.6042E-16
   135      4.3398E-08      4.2546E-06 -5.1019E-10   1.5392E-10  1.2426E-06   2.2976E-12 -1.6531E-16
   136      4.3834E-08      4.2974E-06 -5.2049E-10   1.5703E-10  1.2551E-06   2.3440E-12 -1.7034E-16
   137      4.4275E-08      4.3406E-06 -5.3101E-10   1.6021E-10  1.2677E-06   2.3913E-12 -1.7553E-16
   138      4.4720E-08      4.3842E-06 -5.4174E-10   1.6344E-10  1.2805E-06   2.4396E-12 -1.8088E-16
   139      4.5169E-08      4.4283E-06 -5.5268E-10   1.6674E-10  1.2933E-06   2.4889E-12 -1.8638E-16
   140      4.5623E-08      4.4728E-06 -5.6385E-10   1.7011E-10  1.3063E-06   2.5392E-12 -1.9206E-16
   141      4.6082E-08      4.5177E-06 -5.7524E-10   1.7355E-10  1.3194E-06   2.5905E-12 -1.9791E-16
   142      4.6545E-08      4.5631E-06 -5.8686E-10   1.7705E-10  1.3327E-06   2.6428E-12 -2.0394E-16
   143      4.7013E-08      4.6090E-06 -5.9871E-10   1.8063E-10  1.3461E-06   2.6962E-12 -2.1015E-16
   144      4.7485E-08      4.6553E-06 -6.1081E-10   1.8428E-10  1.3596E-06   2.7507E-12 -2.1655E-16
   145      4.7962E-08      4.7021E-06 -6.2315E-10   1.8800E-10  1.3733E-06   2.8062E-12 -2.2314E-16
   146      4.8444E-08      4.7494E-06 -6.3573E-10   1.9180E-10  1.3871E-06   2.8629E-12 -2.2994E-16
   147      4.8931E-08      4.7971E-06 -6.4858E-10   1.9568E-10  1.4010E-06   2.9208E-12 -2.3694E-16
   148      4.9423E-08      4.8453E-06 -6.6168E-10   1.9963E-10  1.4151E-06   2.9798E-12 -2.4416E-16
   149      4.9920E-08      4.8940E-06 -6.7505E-10   2.0366E-10  1.4293E-06   3.0400E-12 -2.5159E-16
   150      5.0422E-08      4.9432E-06 -6.8868E-10   2.0777E-10  1.4437E-06   3.1014E-12 -2.5925E-16
   151      5.0928E-08      4.9929E-06 -7.0259E-10   2.1197E-10  1.4582E-06   3.1640E-12 -2.6715E-16
