#                            P           Q            P           Q            P           Q
#                R                5p-                      5p                       6s 
   192      1.2059E-07  2.0464E-10  7.9761E-07   6.5018E-12 -9.5798E-16   1.6870E-06 -4.1427E-10
   193      1.2180E-07  2.0878E-10  8.0563E-07   6.6332E-12 -9.8715E-16   1.7040E-06 -4.2264E-10
   194      1.2303E-07  2.1300E-10  8.1373E-07   6.7672E-12 -1.0172E-15   1.7211E-06 -4.3118E-10
   195      1.2426E-07  2.1730E-10  8.2190E-07   6.9039E-12 -1.0482E-15   1.7384E-06 -4.3989E-10
   196      1.2551E-07  2.2169E-10  8.3016E-07   7.0434E-12 -1.0801E-15   1.7559E-06 -4.4878E-10
   197      1.2677E-07  2.2617E-10  8.3851E-07   7.1857E-12 -1.1130E-15   1.7735E-06 -4.5784E-10
   198      1.2805E-07  2.3074E-10  8.4694E-07   7.3308E-12 -1.1469E-15   1.7913E-06 -4.6709E-10
   199      1.2933E-07  2.3540E-10  8.5545E-07   7.4789E-12 -1.1818E-15   1.8093E-06 -4.7653E-10
   200      1.3063E-07  2.4015E-10  8.6404E-07   7.6300E-12 -1.2178E-15   1.8275E-06 -4.8616E-10
   201      1.3195E-07  2.4500E-10  8.7273E-07   7.7841E-12 -1.2549E-15   1.8459E-06 -4.9598E-10
   202      1.3327E-07  2.4995E-10  8.8150E-07   7.9414E-12 -1.2931E-15   1.8645E-06 -5.0600E-10
   203      1.3461E-07  2.5500E-10  8.9036E-07   8.1018E-12 -1.3325E-15   1.8832E-06 -5.1622E-10
   204      1.3597E-07  2.6015E-10  8.9931E-07   8.2655E-12 -1.3731E-15   1.9021E-06 -5.2665E-10
   205      1.3733E-07  2.6541E-10  9.0834E-07   8.4324E-12 -1.4149E-15   1.9212E-06 -5.3728E-10
   206      1.3871E-07  2.7077E-10  9.1747E-07   8.6028E-12 -1.4580E-15   1.9405E-06 -5.4814E-10
   207      1.4011E-07  2.7624E-10  9.2669E-07   8.7766E-12 -1.5024E-15   1.9600E-06 -5.5921E-10
   208      1.4151E-07  2.8182E-10  9.3601E-07   8.9539E-12 -1.5482E-15   1.9797E-06 -5.7051E-10
   209      1.4294E-07  2.8751E-10  9.4542E-07   9.1348E-12 -1.5953E-15   1.9996E-06 -5.8203E-10
   210      1.4437E-07  2.9332E-10  9.5492E-07   9.3193E-12 -1.6439E-15   2.0197E-06 -5.9379E-10
   211      1.4582E-07  2.9925E-10  9.6451E-07   9.5075E-12 -1.6940E-15   2.0400E-06 -6.0579E-10
   212      1.4729E-07  3.0529E-10  9.7421E-07   9.6996E-12 -1.7456E-15   2.0605E-06 -6.1802E-10
   213      1.4877E-07  3.1146E-10  9.8400E-07   9.8956E-12 -1.7987E-15   2.0812E-06 -6.3051E-10
   214      1.5027E-07  3.1775E-10  9.9389E-07   1.0095E-11 -1.8535E-15   2.1022E-06 -6.4325E-10
   215      1.5178E-07  3.2417E-10  1.0039E-06   1.0299E-11 -1.9099E-15   2.1233E-06 -6.5624E-10
   216      1.5330E-07  3.3072E-10  1.0140E-06   1.0507E-11 -1.9681E-15   2.1446E-06 -6.6950E-10
   217      1.5484E-07  3.3740E-10  1.0242E-06   1.0720E-11 -2.0280E-15   2.1662E-06 -6.8302E-10
   218      1.5640E-07  3.4422E-10  1.0344E-06   1.0936E-11 -2.0898E-15   2.1880E-06 -6.9682E-10
   219      1.5797E-07  3.5117E-10  1.0448E-06   1.1157E-11 -2.1535E-15   2.2099E-06 -7.1090E-10
   220      1.5956E-07  3.5827E-10  1.0553E-06   1.1383E-11 -2.2190E-15   2.2322E-06 -7.2526E-10
   221      1.6116E-07  3.6550E-10  1.0660E-06   1.1613E-11 -2.2866E-15   2.2546E-06 -7.3991E-10
   222      1.6278E-07  3.7289E-10  1.0767E-06   1.1847E-11 -2.3562E-15   2.2772E-06 -7.5486E-10
   223      1.6442E-07  3.8042E-10  1.0875E-06   1.2086E-11 -2.4280E-15   2.3001E-06 -7.7011E-10
   224      1.6607E-07  3.8810E-10  1.0984E-06   1.2331E-11 -2.5020E-15   2.3232E-06 -7.8566E-10
   225      1.6774E-07  3.9594E-10  1.1095E-06   1.2580E-11 -2.5781E-15   2.3466E-06 -8.0153E-10
   226      1.6942E-07  4.0394E-10  1.1206E-06   1.2834E-11 -2.6567E-15   2.3702E-06 -8.1773E-10
   227      1.7113E-07  4.1210E-10  1.1319E-06   1.3093E-11 -2.7376E-15   2.3940E-06 -8.3425E-10
