#                             P           Q            P           Q            P           Q
#                R                 6d-                      6d                       7s 
   212      9.3730E-08   1.1370E-16  7.0833E-13   2.7393E-18 -3.0405E-22   3.3469E-06 -8.6679E-10
   213      9.4672E-08   1.1716E-16  7.2264E-13   2.8228E-18 -3.1646E-22   3.3805E-06 -8.8430E-10
   214      9.5623E-08   1.2073E-16  7.3723E-13   2.9087E-18 -3.2938E-22   3.4145E-06 -9.0216E-10
   215      9.6585E-08   1.2441E-16  7.5213E-13   2.9973E-18 -3.4282E-22   3.4488E-06 -9.2039E-10
   216      9.7555E-08   1.2820E-16  7.6732E-13   3.0886E-18 -3.5681E-22   3.4835E-06 -9.3898E-10
   217      9.8536E-08   1.3210E-16  7.8282E-13   3.1827E-18 -3.7137E-22   3.5185E-06 -9.5795E-10
   218      9.9526E-08   1.3612E-16  7.9864E-13   3.2796E-18 -3.8653E-22   3.5538E-06 -9.7730E-10
   219      1.0053E-07   1.4027E-16  8.1477E-13   3.3795E-18 -4.0230E-22   3.5895E-06 -9.9704E-10
   220      1.0154E-07   1.4454E-16  8.3123E-13   3.4824E-18 -4.1872E-22   3.6256E-06 -1.0172E-09
   221      1.0256E-07   1.4894E-16  8.4802E-13   3.5884E-18 -4.3581E-22   3.6621E-06 -1.0377E-09
   222      1.0359E-07   1.5348E-16  8.6515E-13   3.6977E-18 -4.5359E-22   3.6989E-06 -1.0587E-09
   223      1.0463E-07   1.5815E-16  8.8263E-13   3.8103E-18 -4.7210E-22   3.7360E-06 -1.0801E-09
   224      1.0568E-07   1.6297E-16  9.0046E-13   3.9264E-18 -4.9137E-22   3.7736E-06 -1.1019E-09
   225      1.0674E-07   1.6793E-16  9.1865E-13   4.0459E-18 -5.1142E-22   3.8115E-06 -1.1242E-09
   226      1.0782E-07   1.7305E-16  9.3721E-13   4.1692E-18 -5.3230E-22   3.8498E-06 -1.1469E-09
   227      1.0890E-07   1.7832E-16  9.5614E-13   4.2961E-18 -5.5402E-22   3.8885E-06 -1.1700E-09
